addr,web_add,company_info,company,pay,jobname
北京-海淀区,https://jobs.51job.com/all/co3607448.html,"1.负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作； ,2.负责网页信息和APP数据抽取、清洗、消重等工作，提升平台的抓取效率；,3.参与爬虫核心算法和策略优化，熟悉采集系统的调度策略；,4.实时监控爬虫的进度和警报反馈。,1.本科以上学历，2年以上工作经验；,2.熟悉Linux系统，掌握Java,Python等语言,熟悉常用爬虫框架,如Scrapy,webmagic等；,3.熟悉HTML/JavaScript/CSS/xpath/url/Ajax/xml等web技知识,熟悉WebDriver、phantomjs等工具；,4.掌握网页抓取原理及技术，了解基于Cookie的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；,5.熟悉mysql、redis，mongodb等,熟悉Internet基本协议（如TCP/IP. HTTP等）；,6.能够解决封账号、封IP采集等问题,解决网页抓取、信息抽取等问题,构建完善的网络信息收集平台；,7.熟悉整个爬虫的设计及实现流程，有从事网络爬虫、网页信息抽取开发经验，熟悉反爬虫技术，有分布式爬虫架构经验；,8.有数据分析、数据挖掘相关经验者优先，有良好的沟通能力和责任感，能够承担工作压力，独立分析和解决问题者优先。",搜狐媒体,2-3.5万/月,搜狐媒体-搜狐资讯客户端-python爬虫开发(职位编号：sohu009633)
北京-昌平区,https://jobs.51job.com/all/co3913072.html,"岗位职责： ,  1、设计和实现公司相关产品的后台架构设计以及相关模块的开发；,  2、协助算法工程师进行代码优化和工程化；,    ,任职条件：,  1、5年以上技术工作经验，3年以上Python应用开发工作经验；,  2、统招本科及以上学历、计算机专业等相关专业；,  3、精通Python开发语言，熟悉Python Web开发框架，如Flask、Tornado等；,  4、掌握linux开发环境和shell脚本；,  5、掌握Redis、MySQL以及非结构数据库存储；,  6、了解前端技术 HTML、CSS、JS等； ,  7、熟悉restful风格api的设计和编写；,  8、熟悉tcp/ip/http协议、精通多进程、多线程编程，及进程间通信；,  9、具有优良的代码习惯，熟悉github开发流程；,  10、精通非结构数据库存储和大型Python Web开发项目经验。,  11、操作过千万级用户的互联网公司产品的优先考虑，只做外包项目不考虑。",安徽七天教育科技有限公司,2-2.5万/月,Python工程师（北京）
北京,https://jobs.51job.com/all/co2537359.html,"一：岗位职责：,1、负责Python课程体系设计和完善；,2、负责Python课程爬虫、数据分析、网站开发的讲授；,3、完成领导交办的其它工作。,任职要求：,1. 至少2年以上Python编程经验；,2. 熟练运用Python语言及常用模块；,3. 熟练django等常用开发框架；,4. 熟练Mysql, oracle数据库中任何一种；,5. 熟练HTTP, Javascript, HTML。,6.熟练树莓派设备python开发,7.熟练python机器学习实战,8.精通Linux下Shell、Python两种脚本语言；,9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等",北京千锋互联科技有限公司,2.5-3万/月,python讲师
北京,https://jobs.51job.com/all/co2537359.html,"一：岗位职责：,1、负责Python课程体系设计和完善；,2、负责Python课程爬虫、数据分析、网站开发的讲授；,3、完成领导交办的其它工作。,任职要求：,1. 至少2年以上Python编程经验；,2. 熟练运用Python语言及常用模块；,3. 熟练django等常用开发框架；,4. 熟练Mysql, oracle数据库中任何一种；,5. 熟练HTTP, Javascript, HTML。,6.熟练树莓派设备python开发,7.熟练python机器学习实战,8.精通Linux下Shell、Python两种脚本语言；,9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等",北京千锋互联科技有限公司,2.5-3万/月,python讲师
北京-朝阳区,https://jobs.51job.com/all/co4228684.html,,海南大云科技有限公司,2-3万/月,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4228684.html,,海南大云科技有限公司,2-3万/月,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4228684.html,,海南大云科技有限公司,2-3万/月,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co3818920.html,,北京红枣科技有限公司,6-8千/月,python初级开发工程师
北京-海淀区,https://jobs.51job.com/all/co4039512.html,"职责描述：,1、流程TD,2、负责公司影视后期制作流程管理平台的设计与研发,任职要求：,  1、计算机相关专业，在影视、动画公司做过流程研发2年以上；,  2、具有较强的编程能力：Win32/MFC/PyQT；,  3、对数据结构和算法设计有较为深刻的理解；,4、熟悉以Maya为基础的CG生产流程，熟悉Maya相关制作模块,                        ,5、了解Maya/NUKE等三维制作软件API开发；",诺华视创电影科技（江苏）股份有限公司北京分公司,1-1.5万/月,Python开发工程师
北京,https://jobs.51job.com/all/co100758.html,,北京捷通华声科技股份有限公司,1-2万/月,软件测试工程师（C++、java、python）
