addr,web_add,pay,company_info,company,jobname
北京,https://jobs.51job.com/all/co3639458.html,1.5-2万/月,"1. 参与公司级公共技术平台的技术设计、开发和优化；,2. 负责公司核心业务工具的技术设计、开发和优化；,3. 制定接口规范，编写技术文档等。,任职资格:,1.大学本科以上学历，三年以上软件开发经验。,2.精通Python、Node.js 、PHP 或者java几种语言中的一种或多种，编写的大部分代码符合权威代码规范，具有较高的健壮性、可读性和可扩展性；,3.熟练掌握一种以上IDE的开发环境，可以解决自己和他人遇到的IDE环境问题；熟练使用SVN、Git等代码管理工具。,4.能够快速、高效地完成开发任务，且代码没有明显的bug；开发过程中能够有意识地考虑边界条件的校验和处理；,5.熟悉数据库开发，具有MySQL 或者 SQLServer、Oracle数据库开发经验，同时也具有一定的NoSQL数据库开发经验。,6.有爬虫开发相关经验者优先。,7.思维缜密，心思细腻，逻辑性较强者优先。",深圳市威富安防有限公司,平台工具研发工程师（python、java、php）
空,https://jobs.51job.com/all/co3639458.html,空,空,深圳市威富安防有限公司,空
空,https://jobs.51job.com/all/co3639458.html,空,空,深圳市威富安防有限公司,空
空,https://jobs.51job.com/all/co3639458.html,空,空,深圳市威富安防有限公司,空
空,https://jobs.51job.com/all/co3639458.html,空,空,深圳市威富安防有限公司,空
北京-丰台区,https://jobs.51job.com/all/co3639458.html,0.8-2万/月,"岗位职责：,1. 熟悉C语言,2. 至少2年以上Python编程经验,3. 熟练运用Python语言及常用模块；,4. 熟悉django等常用开发框架,5. 熟悉Mysql, oracle数据库中任何一种,6. 熟悉HTTP, Javascript, HTML.,7.熟悉JAVA.,任职要求：,1.具备较强的学习能力和优秀的沟通能力；,2.2年以上工作经验；,3.性格开朗，活泼，积极乐观，有爱心，热爱教育行业。",深圳市威富安防有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-2万/月,,深圳市威富安防有限公司,Python高级开发工程师
北京-丰台区,https://jobs.51job.com/all/co3639458.html,1.5-2万/月,,深圳市威富安防有限公司,python后端工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-2万/月,"岗位职责：,1． 负责指定的项目设计、编码、测试工作，并完成软件工程相关文档的编写；,2． 为项目研发工作提供技术指导，并解决项目中遇到的技术难题；,3． 为软件研发项目提供相关的培训、技术支持与服务；,4． 负责项目中软件的技术与质量状态进行跟踪，报告存在的问题，并及时提供服务；,5． 新技术及新领域的探索。,任职要求：,1. 大学本科及以上学历，计算机/自动化/通信/遥感/气象相关专业，有遥感/气象行业经验者优先；,2. Python工作经验2年以上，掌握NumPy\SciPy\Pandas等常用库的运用；,3. 熟练掌握Linux环境下的Python开发、测试等工作;,4. 熟悉ORACLE、MYSQL等主流数据库，熟练编写常用SQL语句；,5. 具有良好的编程习惯，熟悉unittest等单元测试框架；,6. 具有优秀的团队合作和沟通协作能力，善于学习，能承受较大的工作压力。",深圳市威富安防有限公司,Python 开发工程师(职位编号：009)
北京,https://jobs.51job.com/all/co3639458.html,1-1.5万/月,"岗位职责:,1、设计开发物联网平台系统框架，相关模块如连接、运营、报表统计等功能。,2. 设计开发实现物联网平台业务流程。,3、实现MQTT/CoAP/HTTPREST等物联网协议,4、运营网站/管理网站的功能实现。,基本条件:,1、 年龄：30岁以下，本科以上学历，；,2、了解docker运行机制,3、掌握Python语言，具有1年以上项目开发经验；,4、 至少掌握一种WEB框架，精通Django者优先考虑；,5、 熟悉Mysql数据库开发，有丰富的数据库查询和调优经验;,6、 掌握Linux系统使用，能够在linux环境下进行工作；,7、 良好的沟通技能和学习能力，团队合作精神，能独立承担工作；,8、 了解Java语言，熟悉MQTT/CoAP等物联网常用协议,岗位技能:,1、具有业务流程设计及业务数据分析能力；能够根据要求快速实现定制功能；快速把握需求的核心要点；,2、熟悉版本管理工具如svn/git等，了解敏捷管理方式，使用过快速集成相关工具。,3、善于团队协作,4、学习能力强，能够快速消化和理解新的编程语言和领域知识。",深圳市威富安防有限公司,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,1-2万/月,,深圳市威富安防有限公司,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,2-3.5万/月,,深圳市威富安防有限公司,Python开发工程师
