id,artist,album,music,Lyric
<built-in function id>,周杰伦,Jay 同名专辑,反方向的钟,"作曲 : 周杰伦
 作词 : 方文山

迷迷蒙蒙 你给的梦
出现裂缝 隐隐作痛
怎么沟通 你都没空
说我不懂 说了没用
他的笑容 有何不同
在你心中 我不再受宠
我的天空 是雨是风
还是彩虹 你在操纵
恨自己真的没用
情绪激动
一颗心到现在还在抽痛
还为分手前那句抱歉
在感动
穿梭时间的画面的钟
从反方向开始移动
回到当初爱你的时空
停格内容不忠
所有回忆对着我进攻
我的伤口被你拆封
誓言太沉重泪被纵容
脸上汹涌失控
城市霓虹 不安跳动
染红夜空
过去种种 象一场梦
不敢去碰 一想就痛
心碎内容 每一秒钟
都有不同 你不懂
连一句珍重 也有苦衷
也不想送
寒风中 废墟烟囱
停止转动 一切落空
在人海中 盲目跟从
别人的梦 全面放纵
恨没有用 疗伤止痛
不再感动 没有梦
痛不知轻重 泪水鲜红
全面放纵
恨自己真的没用 情绪激动"
<built-in function id>,周杰伦,范特西,安静,"只剩下钢琴陪我弹了一天
 睡着的大提琴 安静的旧旧的
 我想你已表现的非常明白
 我懂我也知道 你没有舍不得
 你说你也会难过我不相信
 牵着你陪着我 也只是曾经
 希望他是真的比我还要爱你
 我才会逼自己离开
 你要我说多难堪 我根本不想分开
 为什么还要我用微笑来带过
 我没有这种天份 包容你也接受他
 不用担心的太多 我会一直好好过
 你已经远远离开 我也会慢慢走开
 为什么我连分开都迁就着你
 我真的没有天份 安静的没这么快
 我会学着放弃你 是因为我太爱你
 只剩下钢琴陪我弹了一天
 睡着的大提琴 安静的旧旧的
 我想你已表现的非常明白
 我懂我也知道 你没有舍不得
 你说你也会难过我不相信
 牵着你陪着我 也只是曾经
 希望他是真的比我还要爱你
 我才会逼自己离开
 你要我说多难堪 我根本不想分开
 为什么还要我用微笑来带过
 我没有这种天份 包容你也接受他
 不用担心的太多 我会一直好好过
 你已经远远离开 我也会慢慢走开
 为什么我连分开都迁就着你
 我真的没有天份 安静的没这么快
 我会学着放弃你 是因为我太爱你
 你要我说多难堪 我根本不想分开
 为什么还要我用微笑来带过
 我没有这种天份 包容你也接受他
 不用担心的太多 我会一直好好过
 你已经远远离开 我也会慢慢走开
 为什么我连分开都迁就着你
 我真的没有天份 安静的没这么快
 我会学着放弃你 是因为我太爱你"
<built-in function id>,周杰伦,Fantasy Show香港演唱会,龙卷风(live版),"爱像一阵风 吹完它就走 这样的节奏
谁都无可奈何 没有你以后 我灵魂失控
黑云在降落 我被它拖着走
静静悄悄默默离开 陷入了危险边缘
Baby~ 我的世界已狂风暴雨
Wu~ 爱情来的太快就像龙卷风
离不开暴风圈来不及逃
我不能再想 我不能再想
我不 我不 我不能
爱情走的太快就像龙卷风
不能承受我已无处可躲 我不要再想
我不要再想 我不 我不 我不要再想你
静静悄悄默默离开 陷入了危险边缘
Baby~ 我的世界已狂风暴雨
不知不觉 你已经离开我
不知不觉 我跟了这节奏
后知后觉 又过了一个秋
后知后觉 我该好好生活
Wu~~~~~~~~~~！"
<built-in function id>,周杰伦,Fantasy Plus,世界末日,"作曲 : 周杰伦
 作词 : 周杰伦
想笑来伪装掉下的眼泪
点点头承认自己会怕黑
我只求能借一点的时间来陪
你却连同情都不给
想哭来试探自己麻痹了没
全世界好像只有我疲惫
无所谓反正难过就敷衍走一回
但愿绝望和无奈远走高飞
天灰灰会不会
让我忘了你是谁
夜越黑梦违背
难追难回味
我的世界将被摧毁
也许事与愿违
累不累睡不睡
单影无人相依偎
夜越黑梦违背
有谁肯安慰
我的世界将被摧毁
也许颓废也是另一种美

想哭来试探自己麻痹了没
全世界好像只有我疲惫
无所谓反正难过就敷衍走一回
但愿绝望和无奈远走高飞
天灰灰会不会
让我忘了你是谁
夜越黑梦违背
难追难回味
我的世界将被摧毁
也许事与愿违
累不累睡不睡
单影无人相依偎
夜越黑梦违背
有谁肯安慰
我的世界将被摧毁
也许颓废也是另一种美"
<built-in function id>,周杰伦,Partners 拍档,反方向的钟,"迷迷蒙蒙 你给的梦
出现裂缝 隐隐作痛
怎么沟通 你都没空
说我不懂 说了没用
他的笑容 有何不同
在你心中 我不再受宠
我的天空 是雨是风
还是彩虹 你在操纵

恨自己真的没用 情绪激动
一颗心到现在还在抽痛
还为分手前那句抱歉 在感动

穿梭时间的画面的钟
从反方向开始移动
回到当初爱你的时空
停格内容不忠

所有回忆对着我进攻
我的伤口被你拆封
誓言太沉重泪被纵容
脸上汹涌失控

城市霓虹 不安跳动 染红夜空
过去种种 象一场梦
不敢去碰 一想就痛
心碎内容 每一秒钟
都有不同 你不懂
连一句珍重 也有苦衷 也不想送

寒风中 废墟烟囱
停止转动 一切落空
在人海中 盲目跟从
别人的梦 全面放纵
恨没有用 疗伤止痛
不再感动 没有梦
痛不知轻重 泪水鲜红 全面放纵

恨自己真的没用 情绪激动
一颗心到现在还在抽痛
还为分手前那句抱歉 在感动

穿梭时间的画面的钟
从反方向开始移动
回到当初爱你的时空
停格内容不忠

所有回忆对着我进攻
我的伤口被你拆封
誓言太沉重泪被纵容
脸上汹涌失控

穿梭时间的画面的钟
从反方向开始移动
回到当初爱你的时空
停格内容不忠

所有回忆对着我进攻......"
<built-in function id>,周杰伦,八度空间,最后的战役,"录音师：金少刚
 作曲 : 周杰伦
 作词 : 方文山
编曲：钟兴民
制作人：周杰伦
合声编写：周杰伦
合声：周杰伦
过带：钟兴国(白金录音室)
录音工程：杨瑞代(J&A)
混音工程：杨大纬(丽风录音室)
混音助理：刘勇志
弦乐1st violin：李沛/曾诚/陈允/吴阳
2nd violin：杨莹/简蓓/刘玉琪
Viola：曹飞/张安详/毛新光
Cello：黄远泽/郭筱姮
弦乐编写：钟兴民
录音室：北京(The Theater Studio)
机枪扫射声中
我们寻找遮蔽的战壕
儿时沙雕的城堡毁坏了
重新盖就好
可是你那件染血
布满弹孔的军外套
却就连祷告手都举不好

在硝烟中想起
冰棒汽水的味道
和那些无所事事
一整个夏天的年少
我放下枪回忆去年
一起毕业的学校
而眼泪一直都忘记要掉

嘲笑的声音在风中
不断被练习
连树林间充满了敌意

部队弃守阵地你坚持要
我也离去
我怎么能放弃

我留着陪你
强忍着泪滴
有些事真的
来不及回不去
你脸在抽搐
就快没力气
家乡事不准我再提

我留着陪你
最后的距离
是你的侧脸
倒在我的怀里
你慢慢睡去
我摇不醒你
泪水在战壕里决了堤

在硝烟中想起
冰棒汽水的味道
和那些无所事事
一整个夏天的年少
我放下枪回忆去年
一起毕业的学校
而眼泪一直都忘记要掉

嘲笑的声音在风中
不断被练习
连树林间充满了敌意
部队弃守阵地你坚持要
我也离去
我怎么能放弃

我留着陪你
强忍着泪滴
有些事真的
来不及回不去
你脸在抽搐
就快没力气
家乡事不准我再提

我留着陪你
最后的距离
是你的侧脸
倒在我的怀里
你慢慢睡去
我摇不醒你
泪水在战壕里决了堤"
<built-in function id>,周杰伦,The One 演唱会,开不了口(Live),"才离开没多久就开始
担心今天的你
过得好不好
整个画面是你
想你想的睡不著

嘴嘟嘟那可爱的模样
还有在你身上
香香的味道
我的快乐是你
想你想的都会笑

没有你在 我有多难熬
(没有你在我有多难熬多烦恼)
没有你烦 我有多烦恼
(没有你烦我有多烦恼多难熬)
穿过云层
我试著努力向你奔跑
爱才送到
你却已在别人怀抱

就是开不了口让她知道
就是那么简单几句
我办不到
整颗心悬在半空
我只能够远远看著
这些我都做得到
但那个人已经不是我

就是开不了口让她知道
就是那么简单几句
我办不到
整颗心悬在半空
我只能够远远看著
这些我都做得到
但那个人已经不是我


没有你在 我有多难熬
(没有你在我有多难熬多烦恼)
没有你烦 我有多烦恼
(没有你烦我有多烦恼多难熬)
穿过云层
我试著努力向你奔跑
爱才送到
你却已在别人怀抱

就是开不了口让她知道
就是那么简单几句
我办不到
整颗心...有多重要
我后悔没让你知道
安静的听你撒娇
看你睡著一直到老

就是开不了口让她知道
就是那么简单几句
我办不到
整颗心悬在半空
我只能够远远看著
这些我都做得到
但那个人已经不是我


我就是开不了口
我只能够看著你
在别人怀抱


就是开不了口让她知道
我一定会呵护著你
也逗你笑
你对我有多重要
我后悔没让你知道
安静的听你撒娇
看你睡著一直到老

就是开不了口让她知道
就是那么简单几句
我办不到
整颗心悬在半空
我只能够远远看著
这些我都做得到
但那个人已经不是我

我一定会呵护著你
也逗你笑
你对我有多重要
我后悔没让你知道
安静的听你撒娇
看你睡著一直到老

就是开不了口让她知道
就是那么简单几句
我办不到
整颗心悬在半空
我只能够远远看著
这些我都做得到
但那个人已经不是我"
<built-in function id>,周杰伦,叶惠美,双刀,"作曲 : 周杰伦
 作词 : 方文山
编曲：钟兴民
制作人：周杰伦
合声编写：周杰伦
合声：周杰伦
吉他：蔡科俊Again
Scratch：郭正男、江尚谕
录音工程：杨瑞代
混音工程：杨大纬(杨大纬录音工作室)
混音助理：刘勇志

透过镜头重新接剪历史
给人的想像
八厘米纪录片的桥段
隔着距离欣赏
正邪对立的两方我握紧拳头
开始习惯
以牙还牙的手段
风盘旋烟雾弥漫
我虔诚点的香
在祈祷着平安
从天台向下俯瞰
暴力在原地打转
上一代解决的答案
是微笑不抵抗
被雨淋湿的唐装
那股叹息很东方
我看不惯尊严
受伤家族如此不堪
风
缓缓绕过武馆
正上方的月亮
那颜色中国黄
透过透过镜头重新接剪
历史给人的想像
八厘米纪录片的桥段在播放
隔着距离欣赏
正邪对立的两方
我握紧拳头开始习惯
那以牙还牙的手段
恐惧来自退让
从天台向下俯瞰
暴力在原地打转
上一代解决的答案
是微笑不抵抗
被雨淋湿的唐装
那股叹息很东方
我看不惯尊严
受伤家族如此不堪
从天台向下俯瞰
暴力在原地打转
上一代解决的答案
是微笑不抵抗
被雨淋湿的唐装
那股叹息很东方
我看不惯尊严
受伤家族如此不堪
双刀的正前方
我杀气不转弯
背对我的力量
它自己却受伤
双刀的右下方
我挥刀去了断
将恩怨全看穿
丹凤眼的目光
双刀的正前方
我杀气不转弯
背对我的力量
它自己却受伤
双刀的右下方
我挥刀去了断
将恩怨全看穿
丹凤眼的目光"
<built-in function id>,周杰伦,寻找周杰伦,断了的弦(伴奏),"断了的弦 再怎么连
我的感觉你已听不见
你的转变像断掉的弦
再怎么接 音都不对
你的改变我能够分辨
我沉默 你的话也不多
我们之间少了什么不说
哎唷~微笑后表情终于有点难过 (握着你的手)
问你 确定了再走
我突然释怀的笑
笑声盘旋半山腰
随风在飘摇啊摇
来到你的面前绕
你泪水往下的掉
说会记住我的好
我也弯起了嘴角笑
你的美已经给了谁
追了又追我要不回
我了解离开树的叶
属于地上的世界凋谢
断了的弦再弹一遍
我的世界你不在里面
我的指尖已经弹出茧
还是无法留你在我身边
断了的弦 再怎么连
我的感觉你已听不见
你的转变像断掉的弦
再怎么接 音都不对
你的改变我能够分辨
我沉默 你的话也不多
我们之间少了什么不说
哎唷~微笑后表情终于有点难过 (握着你的手)
问你 确定了再走
我突然释怀的笑
笑声盘旋半山腰
随风在飘摇啊摇
来到你的面前绕
你泪水往下的掉
说会记住我的好
我也弯起了嘴角笑
你的美已经给了谁
追了又追我要不回
我了解离开树的叶
属于地上的世界凋谢
断了的弦再弹一遍
我的世界你不在里面
我的指尖已经弹出茧
还是无法留你在我身边
断了的弦 再怎么连
我的感觉你已听不见
你的转变像断掉的弦
再怎么接 音都不对
你的改变我能够分辨"
<built-in function id>,周杰伦,2004无与伦比演唱会,轨迹(Live),"作曲 : 周杰伦
 作词 : 黄俊郎
 合音:凌伟文 陈柏全 于冠华 陈恒义 王威登
 带来最后一首歌曲:轨迹,谢谢
 怎么隐藏 我的悲伤
 失去你的地方
 你的发香 散得匆忙
 我已经跟不上
 闭上眼睛 还能看见
 你离去的痕迹
 在月光下 一直找寻
 那想念的身影
 如果说分手是苦痛的起点
 那在终点之前我愿意再爱一遍
 想要对你说的不敢说的爱
 会不会有人可以明白
 我会发着呆 然后忘记你
 接着紧紧闭上眼
 想着哪一天 会有人代替
 让我不再想念你
 我会发着呆 然后微微笑
 接着紧紧闭上眼
 又想了一遍 你温柔的脸
 在我忘记之前
 woo
 闭上眼睛 还能看见
 你离去的痕迹
 在月光下 一直找寻
 那想念的身影
 如果说分手是苦痛的起点
 那在终点之前我愿意再爱一遍
 想要对你说的不敢说的爱
 会不会有人可以明白
 我会发着呆 然后忘记你
 接着紧紧闭上眼
 想着哪一天 会有人代替
 让我不再想念你
 我会发着呆 然后忘记你
 接着紧紧闭上眼
 想着哪一天 会有人代替
 让我不再想念你
 我会发着呆 然后微微笑
 接着紧紧闭上眼
 又想了一遍 你温柔的脸
 在我忘记之前
 心里的眼泪 模糊了视线
 我已快看不见 wow
 woo~谢谢 谢谢你们来
 合音:然后忘记你
 合音:接着紧紧闭上眼
 合音:想着哪一天 会有人代替
 合音:让我不再想念你
 合音:我会发着呆 然后微微笑
 合音:接着紧紧闭上眼
 合音:又想了一遍 你温柔的脸
 合音:在我忘记之前"
